Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1993-05-18,44.1875,44.21875,43.96875,44.125,24.330541610717773,105200,0.0,0.0,0.0
1993-05-19,44.125,45.03125,43.84375,45.03125,24.83024024963379,50200,0.0,0.0,0.0
1993-05-20,45.03125,45.15625,44.9375,45.15625,24.899169921875,98200,0.0,0.0,0.0
1993-05-21,45.1875,45.25,44.71875,44.75,24.67515754699707,221400,0.0,0.0,0.0
1993-05-24,44.84375,45.09375,44.84375,44.9375,24.778541564941406,30500,0.0,0.0,0.0
1993-05-25,45.125,45.125,45.03125,45.03125,24.83024024963379,191800,0.0,0.0,0.0
1993-05-26,45.15625,45.625,45.125,45.59375,25.140413284301758,102400,0.0,0.0,0.0
1993-05-27,45.65625,45.65625,45.375,45.4375,25.054244995117188,53800,0.0,0.0,0.0
1993-05-28,45.40625,45.40625,45.0,45.21875,24.933629989624023,79100,0.0,0.0,0.0
1993-06-01,45.375,45.8125,45.3125,45.65625,25.174861907958984,28300,0.0,0.0,0.0
1993-06-02,45.53125,45.75,45.34375,45.59375,25.140413284301758,20300,0.0,0.0,0.0
1993-06-03,45.5,45.5,45.34375,45.4375,25.054244995117188,21600,0.0,0.0,0.0
1993-06-04,45.3125,45.3125,45.09375,45.28125,24.968088150024414,32000,0.0,0.0,0.0
1993-06-07,45.375,45.375,45.125,45.125,24.881925582885742,121400,0.0,0.0,0.0
1993-06-08,45.0,45.0,44.71875,44.71875,24.65792465209961,104500,0.0,0.0,0.0
1993-06-09,44.875,45.0625,44.8125,44.875,24.744081497192383,43300,0.0,0.0,0.0
1993-06-10,44.84375,44.9375,44.75,44.90625,24.76131248474121,17900,0.0,0.0,0.0
1993-06-11,45.0625,45.15625,44.90625,45.09375,24.864700317382812,647400,0.0,0.0,0.0
1993-06-14,45.15625,45.1875,45.03125,45.03125,24.83024024963379,64200,0.0,0.0,0.0
1993-06-15,45.09375,45.125,44.9375,44.9375,24.778541564941406,142400,0.0,0.0,0.0
1993-06-16,44.9375,45.03125,44.8125,45.03125,24.83024024963379,330900,0.0,0.0,0.0
1993-06-17,45.125,45.1875,45.03125,45.1875,24.916383743286133,37400,0.0,0.0,0.0
1993-06-18,44.84375,44.84375,44.5,44.5,24.71119499206543,58500,0.318,0.0,0.0
1993-06-21,44.625,44.625,44.53125,44.59375,24.763294219970703,29300,0.0,0.0,0.0
1993-06-22,44.65625,44.65625,44.5625,44.625,24.780616760253906,137500,0.0,0.0,0.0
1993-06-23,44.625,44.625,44.21875,44.21875,24.555034637451172,227600,0.0,0.0,0.0
1993-06-24,44.34375,44.8125,44.34375,44.8125,24.884737014770508,243700,0.0,0.0,0.0
1993-06-25,44.78125,44.90625,44.75,44.78125,24.867393493652344,44800,0.0,0.0,0.0
1993-06-28,45.0,45.28125,44.9375,45.28125,25.145048141479492,439900,0.0,0.0,0.0
1993-06-29,45.21875,45.21875,45.0,45.0625,25.023561477661133,207500,0.0,0.0,0.0
1993-06-30,45.125,45.21875,45.0,45.0625,25.023561477661133,437600,0.0,0.0,0.0
1993-07-01,45.125,45.125,44.875,44.9375,24.95415496826172,605700,0.0,0.0,0.0
1993-07-02,44.78125,44.8125,44.53125,44.6875,24.81533432006836,285400,0.0,0.0,0.0
1993-07-06,44.625,44.75,44.15625,44.21875,24.555034637451172,246400,0.0,0.0,0.0
1993-07-07,44.1875,44.40625,44.1875,44.34375,24.624441146850586,343700,0.0,0.0,0.0
1993-07-08,44.375,44.9375,44.3125,44.84375,24.902103424072266,248200,0.0,0.0,0.0
1993-07-09,44.84375,44.96875,44.75,44.96875,24.971511840820312,378200,0.0,0.0,0.0
1993-07-12,44.90625,44.96875,44.84375,44.9375,24.95415496826172,373700,0.0,0.0,0.0
1993-07-13,44.96875,45.09375,44.65625,44.90625,24.93680763244629,389600,0.0,0.0,0.0
1993-07-14,44.9375,45.1875,44.90625,45.0625,25.023561477661133,617300,0.0,0.0,0.0
1993-07-15,45.03125,45.03125,44.78125,44.875,24.919452667236328,443800,0.0,0.0,0.0
1993-07-16,44.90625,44.9375,44.6875,44.75,24.85003089904785,216400,0.0,0.0,0.0
1993-07-19,44.75,44.75,44.59375,44.71875,24.832683563232422,188200,0.0,0.0,0.0
1993-07-20,44.6875,44.84375,44.46875,44.84375,24.902103424072266,68500,0.0,0.0,0.0
1993-07-21,44.78125,44.8125,44.65625,44.8125,24.884737014770508,142700,0.0,0.0,0.0
1993-07-22,44.75,44.8125,44.5,44.5,24.71119499206543,632400,0.0,0.0,0.0
1993-07-23,44.59375,44.71875,44.5625,44.71875,24.832683563232422,286200,0.0,0.0,0.0
1993-07-26,44.84375,45.0625,44.84375,44.96875,24.971511840820312,121300,0.0,0.0,0.0
1993-07-27,45.0,45.03125,44.78125,44.9375,24.95415496826172,92800,0.0,0.0,0.0
1993-07-28,44.84375,44.9375,44.78125,44.84375,24.902103424072266,30800,0.0,0.0,0.0
1993-07-29,44.9375,45.21875,44.875,45.09375,25.040925979614258,331000,0.0,0.0,0.0
1993-07-30,45.09375,45.09375,44.78125,44.84375,24.902103424072266,75300,0.0,0.0,0.0
1993-08-02,44.90625,45.125,44.90625,44.96875,24.971511840820312,41300,0.0,0.0,0.0
1993-08-03,45.0625,45.1875,44.84375,45.0,24.988855361938477,81600,0.0,0.0,0.0
1993-08-04,45.0,45.09375,44.875,45.0,24.988855361938477,434000,0.0,0.0,0.0
1993-08-05,45.0,45.0,44.84375,44.90625,24.93680763244629,36800,0.0,0.0,0.0
1993-08-06,45.03125,45.0625,44.90625,44.96875,24.971511840820312,402300,0.0,0.0,0.0
1993-08-09,45.09375,45.34375,45.0,45.21875,25.110336303710938,828200,0.0,0.0,0.0
1993-08-10,45.1875,45.21875,45.125,45.1875,25.09296989440918,604900,0.0,0.0,0.0
1993-08-11,45.15625,45.3125,45.15625,45.1875,25.09296989440918,542200,0.0,0.0,0.0
1993-08-12,45.3125,45.3125,44.90625,45.0625,25.023561477661133,303700,0.0,0.0,0.0
1993-08-13,45.09375,45.15625,45.09375,45.125,25.05827522277832,103500,0.0,0.0,0.0
1993-08-16,45.15625,45.5,45.15625,45.375,25.197092056274414,241800,0.0,0.0,0.0
1993-08-17,45.34375,45.53125,45.34375,45.53125,25.28386116027832,369300,0.0,0.0,0.0
1993-08-18,45.6875,45.875,45.65625,45.78125,25.422698974609375,414300,0.0,0.0,0.0
1993-08-19,45.8125,45.8125,45.71875,45.78125,25.422698974609375,28500,0.0,0.0,0.0
1993-08-20,45.6875,45.8125,45.65625,45.8125,25.44005012512207,80700,0.0,0.0,0.0
1993-08-23,45.625,45.75,45.625,45.71875,25.387989044189453,15600,0.0,0.0,0.0
1993-08-24,45.71875,46.21875,45.71875,46.21875,25.66566276550293,273400,0.0,0.0,0.0
1993-08-25,46.21875,46.4375,46.15625,46.25,25.682985305786133,242300,0.0,0.0,0.0
1993-08-26,46.28125,46.53125,46.09375,46.28125,25.700342178344727,120000,0.0,0.0,0.0
1993-08-27,46.15625,46.25,46.15625,46.25,25.682985305786133,25700,0.0,0.0,0.0
1993-08-30,46.28125,46.5,46.28125,46.4375,25.787109375,183500,0.0,0.0,0.0
1993-08-31,46.40625,46.5625,46.34375,46.5625,25.856529235839844,66500,0.0,0.0,0.0
1993-09-01,46.40625,46.59375,46.40625,46.5,25.821823120117188,136500,0.0,0.0,0.0
1993-09-02,46.53125,46.59375,46.3125,46.34375,25.735063552856445,472400,0.0,0.0,0.0
1993-09-03,46.3125,46.4375,46.25,46.375,25.75240135192871,630500,0.0,0.0,0.0
1993-09-07,46.375,46.4375,46.0,46.0625,25.578882217407227,196400,0.0,0.0,0.0
1993-09-08,46.0625,46.0625,45.59375,45.90625,25.49210548400879,269900,0.0,0.0,0.0
1993-09-09,45.71875,46.03125,45.71875,46.0,25.544178009033203,239200,0.0,0.0,0.0
1993-09-10,46.125,46.4375,46.0625,46.40625,25.76976776123047,106500,0.0,0.0,0.0
1993-09-13,46.5625,46.5625,46.4375,46.4375,25.787109375,66900,0.0,0.0,0.0
1993-09-14,46.3125,46.3125,46.09375,46.25,25.682985305786133,184500,0.0,0.0,0.0
1993-09-15,46.0625,46.40625,45.90625,46.375,25.75240135192871,101000,0.0,0.0,0.0
1993-09-16,46.3125,46.34375,46.15625,46.1875,25.64828109741211,54300,0.0,0.0,0.0
1993-09-17,45.875,45.90625,45.75,45.8125,25.598552703857422,200900,0.286,0.0,0.0
1993-09-20,45.875,45.96875,45.4375,45.4375,25.38903045654297,57800,0.0,0.0,0.0
1993-09-21,45.5,45.5625,44.8125,45.28125,25.30172348022461,318200,0.0,0.0,0.0
1993-09-22,45.4375,45.71875,45.375,45.65625,25.511253356933594,439700,0.0,0.0,0.0
1993-09-23,45.78125,45.9375,45.71875,45.90625,25.65093994140625,88500,0.0,0.0,0.0
1993-09-24,45.84375,45.875,45.71875,45.78125,25.581104278564453,53500,0.0,0.0,0.0
1993-09-27,46.125,46.28125,46.125,46.28125,25.8604793548584,274600,0.0,0.0,0.0
1993-09-28,46.3125,46.3125,46.15625,46.1875,25.8080997467041,158300,0.0,0.0,0.0
1993-09-29,46.1875,46.3125,45.96875,46.03125,25.720794677734375,221000,0.0,0.0,0.0
1993-09-30,46.03125,46.125,45.84375,45.9375,25.668428421020508,99300,0.0,0.0,0.0
1993-10-01,45.875,46.21875,45.8125,46.15625,25.79062843322754,22700,0.0,0.0,0.0
1993-10-04,46.21875,46.21875,46.09375,46.21875,25.825563430786133,1038500,0.0,0.0,0.0
1993-10-05,46.3125,46.3125,46.0,46.15625,25.79062843322754,436500,0.0,0.0,0.0
1993-10-06,46.1875,46.375,46.125,46.125,25.77318000793457,209200,0.0,0.0,0.0
1993-10-07,46.1875,46.1875,45.96875,46.0,25.703330993652344,59400,0.0,0.0,0.0
1993-10-08,46.125,46.15625,45.71875,46.0625,25.738250732421875,54400,0.0,0.0,0.0
1993-10-11,46.15625,46.25,46.15625,46.15625,25.79062843322754,467100,0.0,0.0,0.0
1993-10-12,46.21875,46.25,46.1875,46.21875,25.825563430786133,26200,0.0,0.0,0.0
1993-10-13,46.25,46.25,46.15625,46.21875,25.825563430786133,139100,0.0,0.0,0.0
1993-10-14,46.40625,46.8125,46.28125,46.8125,26.15732192993164,108100,0.0,0.0,0.0
1993-10-15,47.03125,47.15625,46.90625,47.0625,26.297019958496094,1502500,0.0,0.0,0.0
1993-10-18,47.03125,47.03125,46.875,46.9375,26.227184295654297,722400,0.0,0.0,0.0
1993-10-19,46.875,46.96875,46.59375,46.59375,26.03509521484375,880100,0.0,0.0,0.0
1993-10-20,46.75,46.75,46.5625,46.65625,26.070024490356445,230400,0.0,0.0,0.0
1993-10-21,46.6875,46.6875,46.53125,46.59375,26.03509521484375,56200,0.0,0.0,0.0
1993-10-22,46.65625,46.84375,46.375,46.375,25.912878036499023,390700,0.0,0.0,0.0
1993-10-25,46.40625,46.5625,46.28125,46.5,25.98270606994629,114500,0.0,0.0,0.0
1993-10-26,46.46875,46.5,46.3125,46.46875,25.965251922607422,186200,0.0,0.0,0.0
1993-10-27,46.40625,46.53125,46.40625,46.5,25.98270606994629,118400,0.0,0.0,0.0
1993-10-28,46.5625,46.96875,46.5625,46.84375,26.174800872802734,129600,0.0,0.0,0.0
1993-10-29,46.8125,46.875,46.78125,46.84375,26.174800872802734,80700,0.0,0.0,0.0
1993-11-01,46.78125,47.0,46.78125,46.96875,26.244626998901367,36400,0.0,0.0,0.0
1993-11-02,46.90625,47.0,46.65625,46.9375,26.227184295654297,262100,0.0,0.0,0.0
1993-11-03,46.90625,46.90625,46.125,46.34375,25.895410537719727,479100,0.0,0.0,0.0
1993-11-04,46.34375,46.34375,45.8125,45.84375,25.61602020263672,130400,0.0,0.0,0.0
1993-11-05,45.71875,46.0625,45.53125,46.0625,25.738250732421875,363200,0.0,0.0,0.0
1993-11-08,46.09375,46.25,45.96875,46.125,25.77318000793457,367600,0.0,0.0,0.0
1993-11-09,46.4375,46.46875,46.125,46.15625,25.79062843322754,246900,0.0,0.0,0.0
